"N_gen","Herit_African","Sex_ratio_African","N_mut_African","N_sub_African","Theta_African","Het_African","Herit_European","Sex_ratio_European","N_mut_European","N_sub_European","Theta_European","Het_European","Herit_Asian","Sex_ratio_Asian","N_mut_Asian","N_sub_Asian","Theta_Asian","Het_Asian","mr","ms"
105100,0.0161281,0.518309,5501,746,0.506983,0.340151,0.0120523,0.520928,7986,805,0.680378,0.247612,0.0110467,0.523963,9806,813,0.814365,0.235578,2,25
105100,0.0171655,0.511745,5627,700,0.518596,0.348741,0.0134447,0.525366,7970,752,0.679015,0.259469,0.012063,0.515751,9871,766,0.819763,0.239653,2,25
105100,0.0179723,0.515891,5723,751,0.527443,0.353687,0.0112271,0.529008,7934,788,0.675948,0.251256,0.0119127,0.530872,10112,796,0.839778,0.249509,2,25
105100,0.0169806,0.527981,5620,708,0.517951,0.352495,0.0110865,0.51629,7970,763,0.679015,0.248213,0.0102652,0.528226,9849,778,0.817936,0.225334,2,25
105100,0.0153762,0.525563,5719,725,0.527075,0.341913,0.0108266,0.519505,7868,782,0.670325,0.245389,0.0105098,0.524509,9990,789,0.829646,0.239735,2,25
105100,0.0176256,0.526254,5783,681,0.532973,0.359561,0.0150547,0.521554,7996,750,0.68123,0.276114,0.0152076,0.526609,10047,760,0.83438,0.248224,2,25
105100,0.0154717,0.521556,5657,740,0.521361,0.336936,0.0120366,0.526761,8024,793,0.683615,0.252314,0.0112912,0.521463,10083,795,0.837369,0.234954,2,25
105100,0.0170962,0.535996,5684,694,0.523849,0.346639,0.0128691,0.524143,7997,752,0.681315,0.258677,0.0132878,0.525874,10064,754,0.835791,0.225955,2,25
105100,0.0156672,0.526876,5668,788,0.522374,0.355459,0.0106855,0.521639,7939,829,0.676374,0.26091,0.0108288,0.532636,9997,839,0.830227,0.260602,2,25
105100,0.0175866,0.52197,5650,716,0.520716,0.346942,0.0129814,0.522549,8020,760,0.683275,0.247081,0.012662,0.527638,10101,765,0.838864,0.23705,2,25
105100,0.0187495,0.525839,5559,708,0.512329,0.345473,0.0128999,0.528895,7845,755,0.668365,0.256069,0.0119763,0.521568,9771,762,0.811458,0.243036,2,25
105100,0.0169216,0.521832,5536,677,0.510209,0.341216,0.0111098,0.526049,7925,722,0.675181,0.251939,0.0105168,0.530074,9950,731,0.826324,0.234134,2,25
105100,0.0160907,0.52881,5611,726,0.517121,0.346551,0.0115236,0.524911,7950,782,0.677311,0.24931,0.0107675,0.52369,9943,788,0.825743,0.233264,2,25
105100,0.0201727,0.527567,5519,727,0.508642,0.351538,0.0125817,0.528838,7934,778,0.675948,0.246697,0.013149,0.528667,10063,796,0.835708,0.242223,2,25
105100,0.0185463,0.530538,5660,692,0.521637,0.36704,0.011508,0.522919,8067,745,0.687279,0.267895,0.0102143,0.526399,9942,758,0.82566,0.245223,2,25
105100,0.0180349,0.527981,5571,710,0.513435,0.360301,0.012123,0.526874,7893,752,0.672455,0.252676,0.0124977,0.531292,10090,761,0.837951,0.236406,2,25
105100,0.0196838,0.526599,5666,742,0.52219,0.362594,0.0140723,0.519932,8009,795,0.682337,0.274268,0.0144443,0.524551,9993,803,0.829895,0.25229,2,25
105100,0.0167032,0.522592,5672,768,0.522743,0.346391,0.012707,0.526874,7867,822,0.67024,0.260951,0.0120526,0.516549,10165,835,0.844179,0.247618,2,25
105100,0.0181599,0.516305,5523,732,0.509011,0.350742,0.0134573,0.523631,7906,802,0.673562,0.245229,0.0116601,0.523438,9896,819,0.821839,0.214959,2,25
105100,0.0150719,0.523421,5561,727,0.512513,0.349538,0.0115719,0.524114,7950,781,0.677311,0.250357,0.0110645,0.523459,9870,794,0.81968,0.23833,2,25
105100,0.0173765,0.529225,5472,730,0.504311,0.365173,0.0126687,0.526817,7930,784,0.675607,0.266983,0.0125386,0.526126,10072,789,0.836456,0.252646,2,25
105100,0.0180806,0.531159,5563,747,0.512697,0.347917,0.012479,0.527244,7974,798,0.679356,0.255197,0.0121728,0.517536,9954,808,0.826656,0.242361,2,25
105100,0.0166771,0.522869,5566,753,0.512974,0.332393,0.0132108,0.524314,7852,802,0.668962,0.259794,0.0127811,0.526609,10006,817,0.830975,0.235914,2,25
105100,0.0192733,0.518032,5571,728,0.513435,0.347596,0.0147726,0.522777,7991,774,0.680804,0.270925,0.0137283,0.525307,10191,783,0.846338,0.248449,2,25
105100,0.0182269,0.520243,5693,735,0.524678,0.371095,0.0136534,0.526675,7923,794,0.675011,0.279815,0.0128968,0.522471,10056,805,0.835127,0.249704,2,25
105100,0.0655758,0.524043,5595,715,0.515647,0.346326,0.0490359,0.522436,7968,750,0.678844,0.2557,0.0456365,0.522996,9824,764,0.81586,0.244369,2,5
105100,0.0593504,0.526185,5656,768,0.521268,0.341243,0.0447439,0.524057,7973,825,0.67927,0.252533,0.0415924,0.524488,10049,833,0.834546,0.242568,2,5
105100,0.0715653,0.517825,5612,738,0.517213,0.351091,0.0473019,0.524826,7932,792,0.675777,0.252135,0.0480154,0.521946,9948,801,0.826158,0.242487,2,5
105100,0.0707899,0.532887,5669,774,0.522467,0.350682,0.0486891,0.53265,7854,821,0.669132,0.237841,0.048228,0.523816,9973,827,0.828234,0.231058,2,5
105100,0.0680708,0.525909,5648,709,0.520531,0.361565,0.0509638,0.525196,7886,770,0.671858,0.263561,0.0508979,0.524803,10207,778,0.847667,0.252249,2,5
105100,0.0608648,0.516651,5679,706,0.523388,0.35251,0.0465912,0.525594,8046,753,0.68549,0.27218,0.042592,0.525748,9942,764,0.82566,0.261301,2,5
105100,0.0683275,0.514785,5627,703,0.518596,0.342791,0.0517138,0.529947,7793,766,0.663935,0.24563,0.0457961,0.524089,10027,773,0.832719,0.230367,2,5
105100,0.0612459,0.519898,5658,739,0.521453,0.354052,0.0411929,0.524086,8044,780,0.685319,0.264141,0.0385244,0.527218,10032,787,0.833134,0.246188,2,5
105100,0.0695615,0.525701,5578,725,0.51408,0.354862,0.0576579,0.521554,8122,766,0.691965,0.264143,0.0558421,0.524677,9964,770,0.827487,0.25321,2,5
105100,0.0635473,0.515061,5579,732,0.514172,0.342453,0.0523914,0.524456,7840,785,0.667939,0.258234,0.0454849,0.529906,10045,794,0.834214,0.24887,2,5
105100,0.058211,0.515752,5659,723,0.521545,0.330741,0.0463537,0.523346,7951,763,0.677396,0.225738,0.0434768,0.522198,9743,781,0.809133,0.217768,2,5
